,year,team,league,total_transfers_in,total_transfer_out,total_spend,total_earned,average_fee_spend,average_fee_earned,max_fee_spend,min_fee_spend,avg_season_spi,most_purchased_position,position_max_spend,position_min_spend,avg_spend_striker,avg_spend_centre_back,avg_spend_centre_mid,avg_spend_goalkeeper,avg_spend_left_winger,avg_spend_right_winger,avg_spend_def_midfield,avg_spend_left_back,avg_spend_right_back,avg_spend_att_midfield
275,2018,Anzhi Makhachkala,Russian Premier Liga,27,29,0.0,0.40499999999999997,0.0,0.013965517241379309,0.0,0.36,34.35,Striker,Central Midfield,Striker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,2018,Arsenal FC,English Premier League,16,12,72.14,7.11,4.50875,0.5925,25.79,3.96,80.61,Goalkeeper,Defensive Midfield,Striker,0.0,7.2,7.2,5.625,0.0,0.0,12.895,0.0,0.0,2.25
277,2018,Arsenal Tula,Russian Premier Liga,15,14,0.187,0.9,0.012466666666666666,0.0642857142857143,0.18,0.9,52.130000000000024,Defensive Midfield,Central Midfield,Attacking Midfield,0.0,0.0023333333333333335,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
278,2018,Aston Villa,English League Championship,27,28,17.19,14.0,0.6366666666666667,0.5,5.4,9.0,57.099999999999994,Striker,Left-Back,Central Midfield,0.0,0.0,0.93,1.6200000000000003,0.0,1.8,0.0,0.0,1.5,0.0
279,2018,Atalanta BC,Italian Serie A,13,79,48.605,19.404999999999998,3.7388461538461537,0.24563291139240503,12.6,4.77,77.97000000000003,Centre-Back,Striker,Centre-Back,8.55,3.15125,3.375,3.42,0.0,0.9,4.5,1.665,0.0,0.0
280,2018,Athletic Bilbao,Spanish La Liga,11,9,29.61,72.0,2.691818181818182,8.0,21.6,72.0,75.20000000000002,Left-Back,Goalkeeper,Left-Back,0.81,0.0,0.0,0.0,0.0,3.6,0.0,5.625,2.7,0.0
281,2018,Atlético Madrid,Spanish La Liga,22,20,144.45,58.41,6.5659090909090905,2.9204999999999997,63.0,18.45,86.36000000000001,Striker,Left Winger,Striker,3.87,0.75,0.0,0.225,31.5,20.25,22.5,2.1,9.9,0.0
282,2018,Bayer 04 Leverkusen,German Bundesliga,10,8,28.349999999999998,40.5,2.835,5.0625,16.65,22.5,75.07999999999998,Goalkeeper,Goalkeeper,Centre-Back,0.9,0.0,0.0,0.0,16.65,0.0,0.0,0.0,10.8,0.0
283,2018,Bayern Munich,German Bundesliga,6,9,9.0,75.6,1.5,8.399999999999999,9.0,36.0,92.11999999999998,Central Midfield,Right Winger,Central Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
284,2018,Belenenses SAD,Portuguese Liga,30,31,0.0,0.27,0.0,0.00870967741935484,0.0,0.27,45.34000000000001,Striker,Striker,Right-Back,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,2018,Birmingham City,English League Championship,26,25,2.25,0.0,0.08653846153846154,0.0,2.25,0.0,49.90999999999999,Goalkeeper,Left-Back,Defensive Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
286,2018,Blackburn Rovers,English League Championship,19,18,1.71,0.0,0.09,0.0,1.71,0.0,43.95000000000001,Striker,Striker,Right Winger,0.4275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,2018,Boavista FC,Portuguese Liga,23,22,0.36,1.935,0.015652173913043476,0.08795454545454545,0.36,0.9,42.089999999999996,Striker,Centre-Back,Left Winger,0.05142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,2018,Bologna FC 1909,Italian Serie A,15,38,28.093999999999998,39.313,1.8729333333333331,1.0345526315789475,8.1,22.05,58.409999999999975,Striker,Right Winger,Goalkeeper,4.8,0.18466666666666667,1.3499999999999999,4.095,0.0,0.0,0.0,0.0,0.9,0.0
289,2018,Bolton Wanderers,English League Championship,24,24,0.203,0.0,0.008458333333333333,0.0,0.203,0.0,36.51,Goalkeeper,Striker,Central Midfield,0.06766666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,2018,Borussia Dortmund,German Bundesliga,14,17,81.45,102.78000000000002,5.817857142857143,6.045882352941177,25.2,57.6,80.51000000000005,Defensive Midfield,Left Winger,Right-Back,1.8,19.575,9.0,0.0,0.0,2.25,9.0,0.0,0.0,0.0
291,2018,Borussia Mönchengladbach,German Bundesliga,11,10,29.3,29.655,2.6636363636363636,2.9655,20.7,22.5,69.82999999999998,Central Midfield,Centre-Back,Left Winger,20.7,0.0,0.0,0.0,1.015,0.0,0.0,4.05,1.26,0.0
292,2018,Brentford FC,English League Championship,15,16,5.9,31.46,0.39333333333333337,1.96625,2.57,12.24,56.069999999999986,Goalkeeper,Centre-Back,Left-Back,0.0,1.4566666666666668,0.0,0.0,0.765,0.0,0.0,0.0,0.0,0.0
293,2018,Brighton & Hove Albion,English Premier League,28,29,79.854,12.258000000000001,2.8519285714285716,0.4226896551724138,17.1,3.51,61.470000000000006,Centre-Back,Right Winger,Goalkeeper,2.745,0.55,3.8025,1.3499999999999999,0.7080000000000001,6.36,2.61,9.0,6.3,3.6
294,2018,Bristol City,English League Championship,24,24,9.14,26.555000000000003,0.38083333333333336,1.1064583333333335,3.6,10.22,50.99,Right Winger,Striker,Goalkeeper,0.33,1.2,0.0,0.0,0.0,0.5033333333333333,0.0,0.0,0.765,0.0
295,2018,Burnley FC,English Premier League,8,11,29.700000000000003,7.2,3.7125000000000004,0.6545454545454545,15.21,7.2,61.239999999999995,Striker,Centre-Back,Central Midfield,2.745,15.21,0.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0
